Company,Website,Addreas
"AD - Administration, Department of",https://doa.az.gov/,100 N 15th Ave. Suite 302 | Phoenix AZ 85007
HG - Administrative Hearings Office,https://www.azoah.com/,1740 W. Adams St. Lower Level | Phoenix AZ 85007
AO - Administrative Office of the Courts,https://www.azcourts.gov/,1501 W. Washington St. Suite 411 | Phoenix AZ 85007
"AA - African-American Affairs, Arizona Commission of",https://azcaaa.az.gov/,1700 W. Washington St. Suite 503 | Phoenix AZ 85007
AX - Agriculture Employment Relations Board,Visit our website,1110 W Washington Suite 450 | Phoenix AZ 85007
"AH - Agriculture, Department of",https://agriculture.az.gov,1110 W. Washington | Phoenix AZ 85007
SM - Arizona Capitol Museum,https://azcapitolmuseum.gov/,1700 W Washington | Phoenix AZ 85007
CA - Arizona Commerce Authority,http://www.azcommerce.com/,100 North 7th Ave. Suite 400 | Phoenix AZ 85007
HU - Arizona Commission on the Arts,https://azarts.gov/,417 W. Roosevelt | Phoenix AZ 85003
CL - Arizona Exposition and State Fair,http://www.azstatefair.com/,1826 W. McDowell Road | Phoenix AZ 85007
FA - Arizona Finance Authority,https://www.azcommerce.com/financing/,100 N. 7th Ave. Suite 400 | Phoenix AZ 85007
HC - Arizona Health Care Cost Containment System (AHCCCS),https://www.azahcccs.gov/,801 E. Jefferson Street | Phoenix AZ 85034
PA - Arizona Power Authority,https://powerauthority.org/,1810 W. Adams | Phoenix AZ 85007-2697
PR - Arizona State Parks & Trails,https://azstateparks.com/,1110 W. Washington Street | Phoenix AZ 85007
SD - Arizona State Schools for the Deaf and the Blind,https://asdb.az.gov/,1200 West Speedway Blvd. | Tucson AZ 85745
MC - Arizona-Mexico Commission,https://www.azmc.org/,100 N. 7th Ave. Suite 400 | Phoenix AZ 85007
AG - Attorney General's Office,https://www.azag.gov/,2005 N Central Ave | Phoenix AZ 85004-2926
AU - Auditor General,https://www.azauditor.gov/,2910 N. 44th Street Suite 410 | Phoenix AZ 85018
AB - Board of Accountancy,https://www.azaccountancy.gov,100 North 15th Avenue Suite 165 | Phoenix AZ 85007
AN - Board of Acupuncture,https://acupunctureboard.az.gov/,1740 W. Adams St. Ste. 3005 | Phoenix AZ 85007
BA - Board of Athletic Training,https://at.az.gov,1740 W. Adams St | Phoenix AZ 85007
CB - Board of Barbering & Cosmetology,https://bcb.az.gov/,1740 W. Adams St. Suite 4400 | Phoenix AZ 85007
BH - Board of Behavioral Health Examiners,https://www.azbbhe.us/,1740 W. Adams St. | Phoenix AZ 85007
CS - Board of Charter Schools,https://asbcs.az.gov/,1700 West Washington St. Suite 304 | Phoenix AZ 85007
CE - Board of Chiropractic Examiners,https://chiroboard.az.gov/,1740 W. Adams St Suite 2430 | Phoenix AZ 85007
"CN - Board of Constable Ethics, Standards & Training",https://cestb.az.gov,1415 N 7th Ave. | Phoenix AZ 85007
DX - Board of Dental Examiners,https://dentalboard.az.gov/,1740 W. Adams St | Phoenix AZ 85007
DO - Board of Dispensing Opticians,https://do.az.gov/,1740 W. Adams St. Suite 3001 | Phoenix AZ 85007
EQ - Board of Equalization,https://sboe.az.gov/,100 North 15th Avenue Suite 130 | Phoenix AZ 85007
PP - Board of Executive Clemency,https://boec.az.gov/,4000 N Central Avenue Suite 2300 | Phoenix AZ 85012
BF - Board of Fingerprinting,https://fingerprint.az.gov/,Post Office Box 6129 | Phoenix AZ 85005-6129
FD - Board of Funeral Directors and Embalmers,https://funeralboard.az.gov/,1740 W. Adams St | Phoenix AZ 85007
HE - Board of Homeopathic/Integrated Medicine Examiners,https://homeopath.az.gov/,1740 W. Adams St. Suite 3017 | Phoenix AZ 85007
MT - Board of Massage Therapy,https://massagetherapy.az.gov/,1740 W Adams St. Suite 3401 | Phoenix AZ 85007
MS - Board of Medical Student Loans,https://financial-aid.medicine.arizona.edu/board-of-medical-student-loans/,c/o College of Medicine Financial Aid | Tucson AZ 85724
BN - Board of Nursing,https://www.azbn.gov/,1740 W. Adams St | Phoenix AZ 85007
OT - Board of Occupational Therapy,https://ot.az.gov,1740 W. Adams St. Suite 3407 | Phoenix AZ 85007
OB - Board of Optometry,https://optometry.az.gov/,1740 W. Adams St | Phoenix AZ 85007
OS - Board of Osteopathic Examiners,https://www.azdo.gov/,1740 West Adams St. Suite 2410 | Phoenix AZ 85007
PM - Board of Pharmacy,https://pharmacy.az.gov/,1616 W.Adams Suite 120 | Phoenix AZ 85007
PT - Board of Physical Therapy,https://ptboard.az.gov/,1740 W. Adams St. Ste. 2450 | Phoenix AZ 85007
PO - Board of Podiatry Examiners,https://podiatry.az.gov/,1740 W. Adams St | Phoenix AZ 85007
PV - Board of Private Postsecondary Education,https://ppse.az.gov/,1740 W. Adams St. Suite 3008 | Phoenix AZ 85007
SY - Board of Psychologist Examiners,https://psychboard.az.gov/,1740 W. Adams St Ste. 3403 | Phoenix AZ 85007
-- - Board of Regents,https://www.azregents.edu/,2700 N. Central Ave. Suite 400 | Phoenix AZ 85004
RB - Board of Respiratory Care Examiners,https://respiratoryboard.az.gov/,1740 W. Adams St | Phoenix AZ 85007
TX - Board of Tax Appeals,https://bota.az.gov/,100 N. 15th Ave. Suite 140 | Phoenix AZ 85007
TE - Board of Technical Registration,https://btr.az.gov/,1110 W. Washington Street Suite 240 | Phoenix AZ 85007
GN - Board on Geographic and Historic Names,https://azlibrary.gov/about/boards-and-commissions/arizona-state-board-geographiâ€¦,1700 W. Washington St. 7th Floor | Phoenix AZ 85007
"CH - Child Safety, Department of",https://dcs.az.gov,3003 North Central Avenue 23rd Floor | Phoenix AZ 85012
EC - Citizens Clean Elections Commission,https://www.azcleanelections.gov/,1616 W. Adams Suite 110 | Phoenix AZ 85007
CC - Corporation Commission,https://www.azcc.gov/,1200 W. Washington Street | Phoenix AZ 85007
"DC - Corrections, Rehabilitation & Reentry, Department of",https://corrections.az.gov/,701 E. Jefferson St | Phoenix AZ 85034
CR - Cotton Research & Protection Council,https://www.azcotton.org/,3721 E. Wier Avenue | Phoenix AZ 85044
CO - Court of Appeals - Division I,https://www.azcourts.gov/coa1,1501 W. Washington Street Room 203 | Phoenix AZ 85007
CT - Court of Appeals - Division II,https://www.appeals2.az.gov,400 W. Congress | Tucson AZ 85701-1374
JC - Criminal Justice Commission,http://www.azcjc.gov,1110 W. Washington Suite 230 | Phoenix AZ 85007
"DF - Deaf and the Hard of Hearing, Commission for the",https://www.acdhh.org/,100 N. 15th Ave. Suite 104 | Phoenix AZ 85007
"DE - Economic Security, Department of",https://des.az.gov/,1789 W. Jefferson Street | Phoenix AZ 85007
"ED - Education, Department of",http://www.azed.gov,1535 W. Jefferson Street | Phoenix AZ 85007
"EB - Education, State Board of",https://azsbe.az.gov/,1700 W. Washington St. Suite 300 | Phoenix AZ 85007
"MA - Emergency and Military Affairs, Department of",https://dema.az.gov/,5636 E. McDowell Road | Phoenix AZ 85008-3495
"EV - Environmental Quality, Department of",Visit our website,1110 W. Washington | Phoenix AZ 85007
"AF - Equal Opportunity, Governor's Office of",https://eo.azgovernor.gov/,100 N. 15th Ave. Suite 301 | Phoenix AZ 85007
"CD - First Things First, Early Childhood Development and Health Board, Arizona",https://www.firstthingsfirst.org/,4000 North Central Ave Suite 800 | Phoenix AZ 85012
FO - Forestry and Fire Management,https://dffm.az.gov/,1110 W. Washington Suite 100 | Phoenix AZ 85007
GF - Game and Fish Department,https://www.azgfd.com/,5000 W. Carefree Highway | Phoenix AZ 85086
GM - Gaming Department,https://gaming.az.gov/,100 N. 15th Ave. | Phoenix AZ 85007
GS - Geological Survey,https://azgs.arizona.edu/,1955 East 6th Street | Tucson AZ 85721
GV - Governor's Office,https://azgovernor.gov/,1700 W. Washington Street | Phoenix AZ 85007
IAA - Governor's Office on Tribal Relations,https://gotr.azgovernor.gov/,1700 W. Washington | Phoenix AZ 85007
"HS - Health Services, Department of ",https://www.azdhs.gov/,150 N. 18th Avenue Suite 500 | Phoenix AZ 85007
"GH - Highway Safety, Governor's Office of",https://gohs.az.gov/,1700 West Washington Street | Phoenix AZ 85007
"HI - Historical Society, Arizona",https://arizonahistoricalsociety.org/,949 E. 2nd Street | Tucson AZ 85719
"PH - Historical Society, Prescott",Visit our website,415 W. Gurley Street | Prescott AZ 86301
HL - Homeland Security,https://azdohs.gov/,1700 W. Washington Suite 210 | Phoenix AZ 85007
HO - House of Representatives,https://www.azhouse.gov/,1700 West Washington | Phoenix AZ 85007
HD - Housing Department,https://housing.az.gov/,1110 W. Washington St. Suite 280 | Phoenix AZ 85007
IR - Independent Redistricting Commission,Visit our website,1100 W. Washington St. | Phoenix AZ 85007
IC - Industrial Commission,https://www.azica.gov/,800 W. Washington St. | Phoenix AZ 85007
"ID - Insurance and Financial Institutions, Department of",https://difi.az.gov/,100 N. 15th Ave | Phoenix AZ 85007-2630
JL - Joint Legislative Budget Committee,http://www.azleg.gov/jlbc.htm,1716 West Adams | Phoenix AZ 85007
DJ - Juvenile Corrections,https://adjc.az.gov/,100 North 15th Ave. | Phoenix AZ 85007
LD - Land Department,https://land.az.gov/,1110 W. Washington | Phoenix AZ 85007
LC - Legislative Council,https://www.azleg.gov/legislative-council/,1700 W. Washington Street Ste. 100 | Phoenix AZ 85007
"LA - Library, Archives & Public Records",https://azlibrary.gov/,1901 W Madison St. | Phoenix AZ 85009
LL - Liquor Licenses & Control Department,https://azliquor.gov,800 W. Washington Street 5th Floor | Phoenix AZ 85007
LO - Lottery,https://www.arizonalottery.com,4740 East University Drive | Phoenix AZ 85034
ME - Medical Board,https://www.azmd.gov/,1740 W Adams St. Suite 4000 | Phoenix AZ 85007
NB - Naturopathic Physicians Medical Board,https://nd.az.gov/,1740 W. Adams St Suite 3002 | Phoenix AZ 85007
NS - Navigable Stream Adjudication Commission,http://www.ansac.az.gov,1700 W. Washington Street B-54 | Phoenix AZ 85007
NC - Nursing Care Institution Administrators and Assisted Living Facility Managers Board,https://nciaboard.az.gov/,1740 W. Adams Suite 2490 | Phoenix AZ 85007
OE - Office of Economic Opportunity,https://oeo.az.gov/,100 N 7th Ave. | Phoenix AZ 85007
-- - Peace Officer Standards and Training Board,https://post.az.gov/,2643 E. University Drive | Phoenix AZ 85034
PB - Personnel Board,https://personnel.az.gov/,1740 W. Adams St. Suite 3007 | Phoenix AZ 85007
PI - Pioneers' Home,https://pioneershome.az.gov/,300 S. McCormick Street. | Prescott AZ 86303
-- - Prosecuting Attorneys' Advisory Council,https://www.apaac.az.gov/,3838 N. Central Avenue Suite 850 | Phoenix AZ 85012
RS - Public Safety Personnel Retirement System,https://www.psprs.com/,3010 East Camelback Rd. Suite 200 | Phoenix AZ 85016
"PS - Public Safety, Dept. of",https://www.azdps.gov/,2222 W. Encanto Blvd. | Phoenix AZ 85009
AP - Real Estate Appraisal,Visit our website,100 N. 15th Ave. | Phoenix AZ 85007-2630
"RE - Real Estate, Department of",https://www.azre.gov/,100 N. 15th Ave Suite 201 | Phoenix AZ 85007
RG - Registrar of Contractors,https://roc.az.gov/,1700 W. WashingtonSuite 105 | Phoenix AZ 85007
UO - Residential Utility Consumer Office,https://ruco.az.gov/,1110 W. Washington Suite 220 | Phoenix AZ 85007
"RT - Retirement System, Arizona State",http://www.azasrs.gov/,3300 N Central Ave | Phoenix AZ 85012
"RV - Revenue, Department of",https://azdor.gov/,1600 W Monroe St | Phoenix AZ 85007
ST - Secretary of State,https://azsos.gov/,1700 W. Washington St. 7th Floor | Phoenix AZ 85007
SN - Senate,http://www.azsenate.gov,1700 West Washington | Phoenix AZ 85007
-- - State Bar of Arizona,https://www.azbar.org/,4201 N. 24th Street Suite 100 | Phoenix AZ 85016-6266
MI - State Mine Inspector,https://asmi.az.gov/,1700 W. Washington Street 4th Floor | Phoenix AZ 85007-2805
"SC - Supreme Court, Arizona",https://www.azcourts.gov/,1501 W. Washington Street | Phoenix AZ 85007
"TO - Tourism, Office of",https://tourism.az.gov/,1110 W. Washington St. | Phoenix AZ 85007
"DT - Transportation, Dept. of",http://www.azdot.gov/,206 S. 17th Ave. Mail Drop 100A | Phoenix AZ 85007
TR - Treasurer's Office,https://www.aztreasury.gov/,1700 W. Washington Street First Floor | Phoenix AZ 85007
UL - Uniform State Laws Commission,Visit our website,3003 N. Central Ave. Suite 2600 | Phoenix AZ 85012-2913
-- - Universities,Visit our website,- | - AZ -
VS - Veterans' Services,https://dvs.az.gov/,3839 N. 3rd Street Suite 209 | Phoenix AZ 85012-2068
VT - Veterinary Medical Examiners Board,https://vetboard.az.gov/,1740 W. Adams St. Suite 4600 | Phoenix AZ 85007
WF - Water Infrastructure Finance Authority,http://www.azwifa.gov/,100 N. 7th Ave. Suite 130 | Phoenix AZ 85007
"WC - Water Resources, Department of",https://new.azwater.gov/,1110 West Washington St. Ste 310 | Phoenix AZ 85007
